playerId,season,name,team,position,situation,games_played,icetime,shifts,gameScore,onIce_xGoalsPercentage,offIce_xGoalsPercentage,onIce_corsiPercentage,offIce_corsiPercentage,onIce_fenwickPercentage,offIce_fenwickPercentage,iceTimeRank,I_F_xOnGoal,I_F_xGoals,I_F_xRebounds,I_F_xFreeze,I_F_xPlayStopped,I_F_xPlayContinuedInZone,I_F_xPlayContinuedOutsideZone,I_F_flurryAdjustedxGoals,I_F_scoreVenueAdjustedxGoals,I_F_flurryScoreVenueAdjustedxGoals,I_F_primaryAssists,I_F_secondaryAssists,I_F_shotsOnGoal,I_F_missedShots,I_F_blockedShotAttempts,I_F_shotAttempts,I_F_points,I_F_goals,I_F_rebounds,I_F_reboundGoals,I_F_freeze,I_F_playStopped,I_F_playContinuedInZone,I_F_playContinuedOutsideZone,I_F_savedShotsOnGoal,I_F_savedUnblockedShotAttempts,penalties,I_F_penalityMinutes,I_F_faceOffsWon,I_F_hits,I_F_takeaways,I_F_giveaways,I_F_lowDangerShots,I_F_mediumDangerShots,I_F_highDangerShots,I_F_lowDangerxGoals,I_F_mediumDangerxGoals,I_F_highDangerxGoals,I_F_lowDangerGoals,I_F_mediumDangerGoals,I_F_highDangerGoals,I_F_scoreAdjustedShotsAttempts,I_F_unblockedShotAttempts,I_F_scoreAdjustedUnblockedShotAttempts,I_F_dZoneGiveaways,I_F_xGoalsFromxReboundsOfShots,I_F_xGoalsFromActualReboundsOfShots,I_F_reboundxGoals,I_F_xGoals_with_earned_rebounds,I_F_xGoals_with_earned_rebounds_scoreAdjusted,I_F_xGoals_with_earned_rebounds_scoreFlurryAdjusted,I_F_shifts,I_F_oZoneShiftStarts,I_F_dZoneShiftStarts,I_F_neutralZoneShiftStarts,I_F_flyShiftStarts,I_F_oZoneShiftEnds,I_F_dZoneShiftEnds,I_F_neutralZoneShiftEnds,I_F_flyShiftEnds,faceoffsWon,faceoffsLost,timeOnBench,penalityMinutes,penalityMinutesDrawn,penaltiesDrawn,shotsBlockedByPlayer,OnIce_F_xOnGoal,OnIce_F_xGoals,OnIce_F_flurryAdjustedxGoals,OnIce_F_scoreVenueAdjustedxGoals,OnIce_F_flurryScoreVenueAdjustedxGoals,OnIce_F_shotsOnGoal,OnIce_F_missedShots,OnIce_F_blockedShotAttempts,OnIce_F_shotAttempts,OnIce_F_goals,OnIce_F_rebounds,OnIce_F_reboundGoals,OnIce_F_lowDangerShots,OnIce_F_mediumDangerShots,OnIce_F_highDangerShots,OnIce_F_lowDangerxGoals,OnIce_F_mediumDangerxGoals,OnIce_F_highDangerxGoals,OnIce_F_lowDangerGoals,OnIce_F_mediumDangerGoals,OnIce_F_highDangerGoals,OnIce_F_scoreAdjustedShotsAttempts,OnIce_F_unblockedShotAttempts,OnIce_F_scoreAdjustedUnblockedShotAttempts,OnIce_F_xGoalsFromxReboundsOfShots,OnIce_F_xGoalsFromActualReboundsOfShots,OnIce_F_reboundxGoals,OnIce_F_xGoals_with_earned_rebounds,OnIce_F_xGoals_with_earned_rebounds_scoreAdjusted,OnIce_F_xGoals_with_earned_rebounds_scoreFlurryAdjusted,OnIce_A_xOnGoal,OnIce_A_xGoals,OnIce_A_flurryAdjustedxGoals,OnIce_A_scoreVenueAdjustedxGoals,OnIce_A_flurryScoreVenueAdjustedxGoals,OnIce_A_shotsOnGoal,OnIce_A_missedShots,OnIce_A_blockedShotAttempts,OnIce_A_shotAttempts,OnIce_A_goals,OnIce_A_rebounds,OnIce_A_reboundGoals,OnIce_A_lowDangerShots,OnIce_A_mediumDangerShots,OnIce_A_highDangerShots,OnIce_A_lowDangerxGoals,OnIce_A_mediumDangerxGoals,OnIce_A_highDangerxGoals,OnIce_A_lowDangerGoals,OnIce_A_mediumDangerGoals,OnIce_A_highDangerGoals,OnIce_A_scoreAdjustedShotsAttempts,OnIce_A_unblockedShotAttempts,OnIce_A_scoreAdjustedUnblockedShotAttempts,OnIce_A_xGoalsFromxReboundsOfShots,OnIce_A_xGoalsFromActualReboundsOfShots,OnIce_A_reboundxGoals,OnIce_A_xGoals_with_earned_rebounds,OnIce_A_xGoals_with_earned_rebounds_scoreAdjusted,OnIce_A_xGoals_with_earned_rebounds_scoreFlurryAdjusted,OffIce_F_xGoals,OffIce_A_xGoals,OffIce_F_shotAttempts,OffIce_A_shotAttempts,xGoalsForAfterShifts,xGoalsAgainstAfterShifts,corsiForAfterShifts,corsiAgainstAfterShifts,fenwickForAfterShifts,fenwickAgainstAfterShifts
8480192,2021,Johnathan Kovacevic,WPG,D,other,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8480192,2021,Johnathan Kovacevic,WPG,D,all,4,2595.0,59.0,1.58,0.58,0.46,0.61,0.5,0.6,0.48,24.0,6.2,0.19,0.31,1.51,0.19,3.79,3.01,0.18,0.19,0.18,0.0,0.0,7.0,2.0,4.0,13.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,5.0,7.0,9.0,1.0,2.0,0.0,0.0,0.0,6.0,8.0,1.0,0.0,0.11,0.08,0.0,0.0,0.0,0.0,13.15,9.0,9.14,5.0,0.06,0.0,0.0,0.25,0.25,0.24,59.0,5.0,3.0,7.0,44.0,11.0,4.0,0.0,44.0,0.0,0.0,11805.0,2.0,0.0,0.0,3.0,22.62,1.96,1.87,1.96,1.86,22.0,10.0,12.0,44.0,1.0,3.0,0.0,21.0,9.0,2.0,0.4,1.12,0.44,0.0,0.0,1.0,43.45,32.0,31.72,0.34,0.59,0.59,1.72,1.73,1.71,14.81,1.44,1.44,1.41,1.41,15.0,6.0,7.0,28.0,0.0,0.0,0.0,14.0,6.0,1.0,0.42,0.82,0.21,0.0,0.0,0.0,27.28,21.0,20.66,0.25,0.0,0.0,1.69,1.65,1.65,10.56,12.44,187.0,189.0,0.0,0.0,0.0,0.0,0.0,0.0
8480192,2021,Johnathan Kovacevic,WPG,D,5on5,4,2507.0,57.0,1.58,0.58,0.42,0.63,0.48,0.62,0.47,24.0,6.2,0.19,0.31,1.51,0.19,3.79,3.01,0.18,0.19,0.18,0.0,0.0,7.0,2.0,4.0,13.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,5.0,7.0,9.0,1.0,2.0,0.0,0.0,0.0,6.0,8.0,1.0,0.0,0.11,0.08,0.0,0.0,0.0,0.0,13.15,9.0,9.14,5.0,0.06,0.0,0.0,0.25,0.25,0.24,57.0,5.0,3.0,7.0,42.0,11.0,4.0,0.0,42.0,0.0,0.0,9166.0,2.0,0.0,0.0,3.0,22.62,1.96,1.87,1.96,1.86,22.0,10.0,12.0,44.0,1.0,3.0,0.0,21.0,9.0,2.0,0.4,1.12,0.44,0.0,0.0,1.0,43.45,32.0,31.72,0.34,0.59,0.59,1.72,1.73,1.71,14.13,1.4,1.4,1.37,1.37,14.0,6.0,6.0,26.0,0.0,0.0,0.0,13.0,6.0,1.0,0.38,0.82,0.21,0.0,0.0,0.0,25.28,20.0,19.66,0.23,0.0,0.0,1.64,1.6,1.59,5.56,7.69,129.0,142.0,0.1,0.0,2.0,1.0,2.0,0.0
8480192,2021,Johnathan Kovacevic,WPG,D,4on5,4,88.0,2.0,0.75,0.0,0.08,0.0,0.14,0.0,0.12,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,760.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.68,0.04,0.04,0.04,0.04,1.0,0.0,1.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.04,0.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,0.01,0.0,0.0,0.05,0.05,0.05,0.15,1.62,4.0,24.0,0.04,0.0,1.0,0.0,1.0,0.0
8480192,2021,Johnathan Kovacevic,WPG,D,5on4,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8480950,2021,Ilya Lyubushkin,ARI,D,other,46,1119.0,21.0,3.22,0.54,0.51,0.26,0.55,0.3,0.53,116.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,3.0,4.0,2.0,12.0,0.0,7.0,3.0,11.0,0.0,0.0,4089.0,2.0,2.0,1.0,1.0,6.45,3.81,3.17,3.81,3.17,4.0,6.0,0.0,10.0,2.0,1.0,1.0,4.0,1.0,5.0,0.12,0.09,3.59,0.0,0.0,2.0,10.0,10.0,10.0,0.08,0.79,0.79,3.1,3.1,3.0,16.32,3.22,2.14,3.22,2.14,15.0,8.0,5.0,28.0,2.0,1.0,0.0,12.0,5.0,6.0,0.59,0.53,2.09,2.0,0.0,0.0,28.0,23.0,23.0,0.39,0.18,0.18,3.42,3.42,2.29,10.25,9.95,100.0,81.0,0.0,0.1,0.0,2.0,0.0,2.0
8480950,2021,Ilya Lyubushkin,ARI,D,all,46,49956.0,1097.0,3.47,0.36,0.45,0.39,0.47,0.38,0.47,202.0,33.13,1.05,1.82,9.04,1.14,20.76,15.2,1.01,1.03,0.99,3.0,5.0,33.0,16.0,11.0,60.0,8.0,0.0,0.0,0.0,8.0,2.0,13.0,26.0,33.0,49.0,13.0,26.0,0.0,94.0,12.0,15.0,49.0,0.0,0.0,1.05,0.0,0.0,0.0,0.0,0.0,58.24,49.0,47.78,12.0,0.36,0.0,0.0,1.4,1.37,1.33,1097.0,67.0,212.0,146.0,672.0,111.0,170.0,131.0,685.0,0.0,0.0,117202.0,26.0,10.0,5.0,60.0,298.96,24.03,22.96,24.06,22.98,288.0,133.0,129.0,550.0,27.0,18.0,4.0,341.0,62.0,18.0,9.51,7.53,6.98,14.0,7.0,6.0,538.15,421.0,414.94,3.81,3.83,3.83,24.02,24.0,23.7,485.57,43.34,41.1,44.12,41.86,503.0,171.0,200.0,874.0,52.0,37.0,7.0,520.0,110.0,44.0,14.73,12.74,15.87,19.0,12.0,21.0,898.9,674.0,688.96,8.08,6.7,7.05,44.37,45.1,43.12,79.83,98.06,1618.0,1840.0,0.0,0.0,0.0,0.0,0.0,0.0
8480950,2021,Ilya Lyubushkin,ARI,D,5on5,46,41925.0,930.0,3.47,0.44,0.45,0.46,0.45,0.46,0.46,198.0,32.83,1.04,1.75,8.9,1.09,20.35,14.88,1.01,1.02,0.98,3.0,4.0,32.0,16.0,10.0,58.0,7.0,0.0,0.0,0.0,8.0,2.0,12.0,26.0,32.0,48.0,9.0,18.0,0.0,79.0,9.0,13.0,48.0,0.0,0.0,1.04,0.0,0.0,0.0,0.0,0.0,56.24,48.0,46.78,10.0,0.34,0.0,0.0,1.38,1.35,1.31,930.0,59.0,134.0,136.0,601.0,105.0,132.0,103.0,590.0,0.0,0.0,92768.0,18.0,4.0,2.0,44.0,280.16,19.52,19.09,19.55,19.11,271.0,122.0,126.0,519.0,24.0,17.0,3.0,322.0,58.0,13.0,9.12,7.01,3.39,13.0,7.0,4.0,507.15,393.0,386.94,3.58,3.03,3.03,20.08,20.05,19.86,334.82,25.26,24.54,26.04,25.31,353.0,110.0,148.0,611.0,31.0,22.0,5.0,363.0,79.0,21.0,10.01,9.23,6.03,12.0,10.0,9.0,635.9,463.0,477.96,4.43,4.66,5.0,24.69,25.41,24.94,51.67,64.21,1214.0,1458.0,3.74,0.34,71.0,12.0,60.0,12.0
8480950,2021,Ilya Lyubushkin,ARI,D,4on5,46,6753.0,134.0,3.47,0.04,0.12,0.08,0.11,0.08,0.12,117.0,0.3,0.01,0.07,0.14,0.05,0.41,0.32,0.01,0.01,0.01,0.0,1.0,1.0,0.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,3.0,6.0,0.0,11.0,2.0,2.0,1.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,2.0,0.01,0.0,0.0,0.02,0.02,0.02,134.0,3.0,74.0,7.0,50.0,4.0,28.0,23.0,79.0,0.0,0.0,7109.0,6.0,0.0,0.0,0.0,11.69,0.68,0.68,0.68,0.68,12.0,5.0,3.0,20.0,1.0,0.0,0.0,14.0,3.0,0.0,0.26,0.43,0.0,1.0,0.0,0.0,20.0,17.0,17.0,0.14,0.0,0.0,0.82,0.82,0.81,133.77,14.83,14.38,14.83,14.38,134.0,53.0,45.0,232.0,19.0,14.0,2.0,144.0,26.0,17.0,4.1,2.98,7.75,5.0,2.0,12.0,232.0,187.0,187.0,3.26,1.86,1.86,16.22,16.22,15.86,2.3,17.58,28.0,219.0,0.14,0.03,1.0,1.0,1.0,1.0
8480950,2021,Ilya Lyubushkin,ARI,D,5on4,46,159.0,12.0,-0.65,1.0,0.85,1.0,0.8,1.0,0.76,54.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,2.0,0.0,1.0,9.0,2.0,3.0,2.0,5.0,0.0,0.0,3685.0,0.0,0.0,0.0,2.0,0.66,0.02,0.02,0.02,0.02,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.01,0.0,0.0,0.03,0.03,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.32,0.91,84.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0
